Gene_ID,Sample_con-1,Sample_con-2,Sample_con-3,Sample_trt-1,Sample_trt-2,Sample_trt-3
pg_10000443,109,77,63,71,44,53
pg_10000444,0,0,0,0,0,0
pg_10000446,16,9,29,83,80,30
pg_10000450,14,9,13,18,15,14
pg_10000451,0,0,1,4,4,4
pg_10000452,177,191,236,10,14,37
pg_10000455,944,1034,987,844,992,1010
pg_10000459,0,7,4,1,4,8
pg_10000460,0,0,0,0,0,0
pg_10000462,0,0,0,0,0,0
pg_10000463,5,3,1,409,540,485
pg_10000464,0,0,0,3,2,0
pg_10000466,0,2,1,2,1,2
pg_10000467,0,2,0,3,5,6
pg_10000468,1095,745,1321,90,37,85
pg_10000469,182,135,218,120,141,90
pg_10000470,1,0,3,0,3,1
pg_10000471,420,311,494,939,1009,965
pg_10000473,0,2,0,0,0,1
pg_10000475,48,60,73,143,90,113
pg_10000476,0,0,0,0,0,0
pg_10000477,413,376,300,284,272,360
pg_10000478,0,0,3,79,75,108
pg_10000479,0,0,0,0,0,0
pg_10000481,0,0,0,0,0,0
pg_10000484,0,0,0,0,0,0
pg_10000485,55,67,44,2050,2227,2594
pg_10000487,0,0,0,0,0,0
pg_10000488,86,94,107,154,166,203
pg_10000489,18,23,47,46,72,67
pg_10000490,1012,781,1050,2157,2010,1766
pg_10000491,23,44,21,34,21,54
pg_10000492,29,28,19,24,32,51
pg_10000494,12,12,8,69,83,91
pg_10000495,8,14,7,2,2,6
pg_10000496,24,33,60,95,110,70
pg_10000497,0,0,0,0,0,0
pg_10000498,0,1,0,1,0,2
pg_10000499,11,2,3,14,19,10
pg_1000050,39,48,16,5,4,15
pg_10000500,0,0,0,0,0,0
pg_10000501,0,0,0,28,25,48
pg_10000502,4,0,6,29,24,33
pg_10000503,0,0,0,0,0,4
pg_10000507,8,2,9,31,31,30
pg_10000508,13,8,6,37,20,43
pg_10000509,470,530,417,727,729,1035
pg_1000051,66,53,57,572,566,589
pg_10000510,62,46,89,178,273,126
pg_10000511,119,123,61,186,146,257
pg_10000512,73,89,89,166,130,217
pg_10000514,1,4,2,13,12,25
pg_10000515,389,481,337,494,399,819
pg_10000516,224,232,358,701,766,432
pg_10000517,348,282,303,237,287,368
pg_10000519,107,115,124,125,150,72
pg_1000052,248,179,193,66,50,59
pg_10000520,0,0,0,0,0,0
pg_10000521,113,89,89,107,105,117
pg_10000522,0,0,0,0,0,0
pg_10000523,0,0,0,0,0,0
pg_10000524,13,45,11,60,78,67
pg_10000525,662,533,518,211,181,207
pg_10000526,0,1,1,21,16,47
pg_10000527,0,0,0,0,0,0
pg_10000528,163,181,183,236,272,274
pg_10000529,242,242,248,74,77,108
pg_1000053,0,0,5,18,5,19
pg_10000530,1731,1370,1310,208,234,260
pg_10000531,154,129,167,304,314,276
pg_10000532,1,0,5,7,11,31
pg_10000533,35,28,28,99,90,113
pg_10000534,0,2,0,6,1,0
pg_10000535,6,1,2,3,4,10
pg_10000536,0,0,1,0,0,0
pg_1000054,177,146,165,5834,6747,4800
pg_10000543,8,5,7,23,7,24
pg_10000544,1,0,0,2,1,0
pg_10000547,210,261,229,326,296,561
pg_10000548,427,386,447,519,562,452
pg_10000549,0,0,0,0,9,0
pg_1000055,233,221,223,388,301,474
pg_10000550,0,0,0,0,0,0
pg_10000551,118,154,134,230,247,283
pg_10000552,486,456,481,223,203,268
pg_10000553,304,293,331,342,360,464
pg_10000554,22,39,21,30,47,43
pg_10000556,11,22,9,14,13,12
pg_10000557,12,7,3,11,9,18
pg_10000558,0,0,0,0,0,0
pg_1000056,16,28,21,17,20,22
pg_10000560,194,192,193,286,297,270
pg_10000561,0,0,0,0,0,0
pg_10000562,323,339,398,939,968,847
pg_10000563,82,88,66,116,110,123
pg_10000564,156,152,233,267,323,129
pg_10000566,8,3,3,52,24,43
pg_10000567,0,0,0,0,0,0
pg_10000568,122,94,146,397,406,287
pg_10000569,145,140,88,189,229,138
pg_1000057,5434,5683,4778,9,6,1
pg_10000570,153,146,93,169,123,123
pg_10000572,370,283,471,166,136,180
pg_10000573,349,375,374,621,525,550
pg_10000574,299,254,278,238,320,425
pg_10000575,22,40,22,30,19,32
pg_10000576,5,13,11,3,4,15
pg_10000577,57,93,76,76,84,110
pg_10000578,22,14,16,23,31,50
pg_10000579,36,42,43,55,60,72
pg_1000058,533,521,526,419,369,653
pg_10000580,188,161,170,128,151,146
pg_10000581,769,620,544,131,126,141
pg_10000582,252,214,375,744,896,449
pg_10000583,5,11,0,8,4,24
pg_10000584,0,0,0,0,0,0
pg_10000585,87,91,94,220,224,154
pg_10000586,58,60,75,159,119,161
pg_10000587,57,45,27,63,76,108
pg_10000589,2,6,0,5,5,2
pg_1000059,139,94,132,14,13,41
pg_10000591,1,10,9,31,21,23
pg_10000592,0,0,0,1,3,4
pg_10000593,3,9,6,93,122,110
pg_10000595,299,190,257,149,143,152
pg_10000596,3,0,1,28,19,73
pg_10000597,14,17,14,32,36,65
pg_10000598,169,147,279,697,601,477
pg_1000060,3,6,5,8,12,30
pg_10000600,186,196,210,389,537,401
pg_10000601,157,183,204,259,204,198
pg_10000602,211,202,325,407,384,353
pg_10000603,329,292,309,531,643,554
pg_10000604,2,1,1,8,23,34
pg_10000605,0,6,5,10,2,9
pg_10000606,32,15,28,37,36,59
pg_10000607,44,37,27,25,18,36
pg_10000608,53,56,50,73,89,98
pg_10000609,0,0,0,0,0,1
pg_1000061,1,0,1,2,0,0
pg_10000610,41,35,45,46,44,47
pg_10000611,0,0,0,57,65,92
pg_10000612,2,0,0,0,0,0
pg_10000614,14,4,4,0,3,1
pg_10000615,7,1,8,1,0,1
pg_10000616,6,4,15,33,37,51
pg_10000617,49,41,71,103,100,165
pg_10000618,99,57,113,185,193,235
pg_10000619,229,236,207,296,396,286
pg_1000062,26,31,31,39,21,22
pg_10000620,53,57,51,27,16,30
pg_10000621,0,0,0,0,0,0
pg_10000623,8,9,13,5,5,6
pg_10000624,27,32,21,16,33,35
pg_10000625,29,25,34,56,28,156
pg_10000626,0,0,0,0,0,4
pg_10000627,0,0,0,0,0,0
pg_10000628,0,0,0,0,0,0
pg_10000629,0,0,0,0,0,0
pg_1000063,102,93,59,48,49,85
pg_10000630,0,0,0,0,1,0
pg_10000631,1,8,0,2,4,7
pg_10000632,22,11,23,205,260,270
pg_10000633,49,63,66,42,57,140
pg_10000635,380,347,361,328,252,251
pg_10000637,0,0,0,0,0,0
pg_10000639,87,75,216,430,416,160
pg_1000064,98,101,112,85,111,133
pg_10000640,6,2,7,0,0,0
pg_10000641,0,1,3,0,0,0
pg_10000642,234,256,254,276,238,299
pg_10000643,172,151,141,290,306,366
pg_10000644,0,0,0,65,69,101
pg_10000647,118,110,187,124,142,79
pg_10000648,0,0,0,1,1,0
pg_10000649,0,0,6,2,2,1
pg_1000065,0,0,0,0,0,0
pg_10000650,1,12,5,49,33,62
pg_10000654,28,27,31,93,54,38
pg_10000655,0,2,0,2,4,7
pg_10000656,10,0,0,10,2,9
pg_10000657,5,1,3,4,8,8
pg_10000658,37,32,22,256,232,247
pg_10000659,0,4,5,14,22,16
pg_1000066,124,117,147,49,52,92
pg_10000665,379,295,311,175,216,173
pg_10000666,0,0,0,0,0,0
pg_10000667,6,0,1,9,10,15
pg_10000668,120,76,103,111,115,108
pg_10000669,25,19,28,32,27,72
pg_10000670,2,8,2,2,8,4
pg_10000671,37,46,31,48,67,75
pg_10000672,26,22,22,607,679,752
pg_10000673,648,655,802,625,715,360
pg_10000674,524,503,702,1117,1239,970
pg_10000675,91,78,65,24,18,17
pg_10000676,82,62,114,70,83,71
pg_10000677,105,102,77,68,70,122
pg_10000678,0,2,7,21,21,3
pg_10000679,1,0,1,2,2,0
pg_1000068,18,45,13,0,0,0
pg_10000680,17,11,18,3,3,1
pg_10000681,907,803,996,1730,1525,1701
pg_10000682,2,1,8,16,11,3
pg_10000683,84,88,118,115,131,143
pg_10000684,266,228,323,151,215,256
pg_10000687,118,130,96,269,243,406
pg_10000688,0,0,0,0,0,0
pg_10000689,247,225,188,177,155,146
pg_10000690,44,17,21,0,0,0
pg_10000691,457,450,480,8,40,21
pg_10000699,34,38,38,53,52,47
pg_1000070,74,57,75,34,43,48
pg_10000700,588,423,594,1023,950,1100
pg_10000701,118,101,90,128,110,215
pg_10000702,0,0,0,0,0,0
pg_10000703,0,0,0,0,0,0
